Country;Population;GDP;Currency
Sweden;10500000;635000000000;SEK
Norway;5400000;482000000000;NOK
Finland;5500000;305000000000;EUR
Denmark;5900000;410000000000;DKK
Germany;83200000;4200000000000;EUR
France;67000000;3000000000000;EUR
Italy;59000000;2100000000000;EUR
Spain;48000000;1600000000000;EUR
Netherlands;17500000;1000000000000;EUR
Belgium;11600000;600000000000;EUR
Poland;38000000;700000000000;PLN
Austria;9000000;480000000000;EUR
Switzerland;8700000;820000000000;CHF
Canada;39000000;2100000000000;CAD
USA;333000000;26000000000000;USD
Mexico;126000000;1400000000000;MXN
Brazil;214000000;2100000000000;BRL
Argentina;46000000;640000000000;ARS
Chile;19000000;330000000000;CLP
Colombia;52000000;340000000000;COP
